uhf42,uhf42_neighborhood,zip,uhf34,uhf34_neighborhood
203,Bedford Stuyvesant Crown Heights,11233,203,Bedford Stuyvesant Crown Heights
203,Bedford Stuyvesant Crown Heights,11238,203,Bedford Stuyvesant Crown Heights
204,East New York,11207,204,East New York
204,East New York,11208,204,East New York
205,Sunset Park,11220,205,Sunset Park
205,Sunset Park,11232,205,Sunset Park
206,Borough Park,11204,206,Borough Park
206,Borough Park,11218,206,Borough Park
206,Borough Park,11219,206,Borough Park
206,Borough Park,11230,206,Borough Park
207,East Flatbush Flatbush,11203,207,East Flatbush Flatbush
207,East Flatbush Flatbush,11210,207,East Flatbush Flatbush
207,East Flatbush Flatbush,11225,207,East Flatbush Flatbush
207,East Flatbush Flatbush,11226,207,East Flatbush Flatbush
208,Canarsie Flatlands,11234,208,Canarsie Flatlands
208,Canarsie Flatlands,11236,208,Canarsie Flatlands
208,Canarsie Flatlands,11239,208,Canarsie Flatlands
209,Bensonhurst Bay Ridge,11209,209,Bensonhurst Bay Ridge
209,Bensonhurst Bay Ridge,11214,209,Bensonhurst Bay Ridge
209,Bensonhurst Bay Ridge,11228,209,Bensonhurst Bay Ridge
210,Coney Island Sheepshead Bay,11223,210,Coney Island Sheepshead Bay
210,Coney Island Sheepshead Bay,11224,210,Coney Island Sheepshead Bay
210,Coney Island Sheepshead Bay,11229,210,Coney Island Sheepshead Bay
210,Coney Island Sheepshead Bay,11235,210,Coney Island Sheepshead Bay
211,Williamsburg Bushwick,11206,211,Williamsburg Bushwick
211,Williamsburg Bushwick,11221,211,Williamsburg Bushwick
211,Williamsburg Bushwick,11237,211,Williamsburg Bushwick
301,Washington Heights Inwood,10031,301,Washington Heights Inwood
301,Washington Heights Inwood,10032,301,Washington Heights Inwood
301,Washington Heights Inwood,10033,301,Washington Heights Inwood
301,Washington Heights Inwood,10034,301,Washington Heights Inwood
301,Washington Heights Inwood,10040,301,Washington Heights Inwood
302,Central Harlem Morningside Heights,10026,302,Central Harlem Morningside Heights
302,Central Harlem Morningside Heights,10027,302,Central Harlem Morningside Heights
302,Central Harlem Morningside Heights,10030,302,Central Harlem Morningside Heights
302,Central Harlem Morningside Heights,10037,302,Central Harlem Morningside Heights
302,Central Harlem Morningside Heights,10039,302,Central Harlem Morningside Heights
303,East Harlem,10029,303,East Harlem
303,East Harlem,10035,303,East Harlem
304,Upper West Side,10023,304,Upper West Side
304,Upper West Side,10024,304,Upper West Side
304,Upper West Side,10025,304,Upper West Side
305,Upper East Side,10021,305307,Upper East Side Gramercy
305,Upper East Side,10028,305307,Upper East Side Gramercy
305,Upper East Side,10044,305307,Upper East Side Gramercy
305,Upper East Side,10128,305307,Upper East Side Gramercy
306,Chelsea Clinton,10001,306308,Chelsea Village
306,Chelsea Clinton,10011,306308,Chelsea Village
306,Chelsea Clinton,10018,306308,Chelsea Village
306,Chelsea Clinton,10019,306308,Chelsea Village
306,Chelsea Clinton,10020,306308,Chelsea Village
306,Chelsea Clinton,10036,306308,Chelsea Village
307,Gramercy Park Murray Hill,10010,305307,Upper East Side Gramercy
307,Gramercy Park Murray Hill,10016,305307,Upper East Side Gramercy
307,Gramercy Park Murray Hill,10017,305307,Upper East Side Gramercy
307,Gramercy Park Murray Hill,10022,305307,Upper East Side Gramercy
308,Greenwich Village SoHo,10012,306308,Chelsea Village
308,Greenwich Village SoHo,10013,306308,Chelsea Village
308,Greenwich Village SoHo,10014,306308,Chelsea Village
309,Union Square Lower East Side,10002,309310,"Union Square, Lower Manhattan"
309,Union Square Lower East Side,10003,309310,"Union Square, Lower Manhattan"
309,Union Square Lower East Side,10009,309310,"Union Square, Lower Manhattan"
310,Lower Manhattan,10004,309310,"Union Square, Lower Manhattan"
310,Lower Manhattan,10005,309310,"Union Square, Lower Manhattan"
310,Lower Manhattan,10006,309310,"Union Square, Lower Manhattan"
310,Lower Manhattan,10007,309310,"Union Square, Lower Manhattan"
310,Lower Manhattan,10038,309310,"Union Square, Lower Manhattan"
310,Lower Manhattan,10280,309310,"Union Square, Lower Manhattan"
401,Long Island City Astoria,11101,401,Long Island City Astoria
401,Long Island City Astoria,11102,401,Long Island City Astoria
401,Long Island City Astoria,11103,401,Long Island City Astoria
401,Long Island City Astoria,11104,401,Long Island City Astoria
401,Long Island City Astoria,11105,401,Long Island City Astoria
401,Long Island City Astoria,11106,401,Long Island City Astoria
402,West Queens,11368,402,West Queens
402,West Queens,11369,402,West Queens
402,West Queens,11370,402,West Queens
402,West Queens,11372,402,West Queens
402,West Queens,11373,402,West Queens
402,West Queens,11377,402,West Queens
402,West Queens,11378,402,West Queens
403,Flushing Clearview,11354,403,Flushing Clearview
403,Flushing Clearview,11355,403,Flushing Clearview
403,Flushing Clearview,11356,403,Flushing Clearview
403,Flushing Clearview,11357,403,Flushing Clearview
403,Flushing Clearview,11358,403,Flushing Clearview
403,Flushing Clearview,11359,403,Flushing Clearview
403,Flushing Clearview,11360,403,Flushing Clearview
404,Bayside Little Neck,11361,404406,Bayside Meadows
404,Bayside Little Neck,11362,404406,Bayside Meadows
404,Bayside Little Neck,11363,404406,Bayside Meadows
404,Bayside Little Neck,11364,404406,Bayside Meadows
405,Ridgewood Forest Hills,11374,405,Ridgewood Forest Hills
405,Ridgewood Forest Hills,11375,405,Ridgewood Forest Hills
405,Ridgewood Forest Hills,11379,405,Ridgewood Forest Hills
405,Ridgewood Forest Hills,11385,405,Ridgewood Forest Hills
406,Fresh Meadows,11365,404406,Bayside Meadows
406,Fresh Meadows,11366,404406,Bayside Meadows
406,Fresh Meadows,11367,404406,Bayside Meadows
407,Southwest Queens,11414,407,Southwest Queens
407,Southwest Queens,11415,407,Southwest Queens
407,Southwest Queens,11416,407,Southwest Queens
407,Southwest Queens,11417,407,Southwest Queens
407,Southwest Queens,11418,407,Southwest Queens
407,Southwest Queens,11419,407,Southwest Queens
407,Southwest Queens,11420,407,Southwest Queens
407,Southwest Queens,11421,407,Southwest Queens
408,Jamaica,11412,408,Jamaica
408,Jamaica,11423,408,Jamaica
408,Jamaica,11432,408,Jamaica
408,Jamaica,11433,408,Jamaica
408,Jamaica,11434,408,Jamaica
408,Jamaica,11435,408,Jamaica
408,Jamaica,11436,408,Jamaica
409,Southeast Queens,11004,409,Southeast Queens
409,Southeast Queens,11005,409,Southeast Queens
409,Southeast Queens,11411,409,Southeast Queens
409,Southeast Queens,11413,409,Southeast Queens
409,Southeast Queens,11422,409,Southeast Queens
409,Southeast Queens,11426,409,Southeast Queens
409,Southeast Queens,11427,409,Southeast Queens
409,Southeast Queens,11428,409,Southeast Queens
409,Southeast Queens,11429,409,Southeast Queens
410,Rockaway,11691,410,Rockaway
410,Rockaway,11692,410,Rockaway
410,Rockaway,11693,410,Rockaway
410,Rockaway,11694,410,Rockaway
410,Rockaway,11695,410,Rockaway
410,Rockaway,11697,410,Rockaway
501,Port Richmond,10302,501502,Northern SI
501,Port Richmond,10303,501502,Northern SI
501,Port Richmond,10310,501502,Northern SI
502,Stapleton St. George,10301,501502,Northern SI
502,Stapleton St. George,10304,501502,Northern SI
502,Stapleton St. George,10305,501502,Northern SI
503,Willowbrook,10314,503504,Southern SI
504,South Beach Tottenville,10306,503504,Southern SI
504,South Beach Tottenville,10307,503504,Southern SI
504,South Beach Tottenville,10308,503504,Southern SI
504,South Beach Tottenville,10309,503504,Southern SI
504,South Beach Tottenville,10312,503504,Southern SI
